CutitronicsTreatmentID,TreatmentNumber,CutitronicsCartID,CutitronicsSKUID,CartLevel,CartState,CartDispensedAmount,CartEnvTemperature,CartEnvHumidity,CartEnvPollution,CartEnvUv,CutitronicsClientID,TreatmentStartDate,TreatmentType,CutitronicsCtrlID,CtrlBatteryLevel,CtrlTemperature,CtrlDatetime,CtrlState,CtrlStatus,CtrlFirmwareVersion,CtrlLatitude,CtrlLongitude,CtrlSkinHealth,CtrlHumidity,CtrlaccData,MeasurementArea,Status,clientLat,clientLon,FirstName,Surname,YOB,Gender,FITZP,SkinConcerns,Allergies,CutitronicsBrandID,CutitronicsSKUCat,CutitronicsSKUType,CutitronicsSKUName,prescribedOn,PrescriptionName,PrescriptionType,presrcibedAM,prescribedPM,CartInitLevel,installDate
1,1,a1,SS1,99.00,inUse,2,24,78,33,3,client1,01/05/2020 08:00,dispense,ab1,76,20,01/05/2020 08:00,unknown,unknown,1.0.0,55.752225,-4.220541,69,77,0,FACE,Registered,55.752225,-4.220541,John,Bloggs,1995,Male,4,Dry,None,ISHGA,Exfoliator,Face Wash,Men’s Exfoliating Face Wash 100ml,28/04/2020 14:00,DRY,DAILY,2,4,100,01/05/2020
2,2,a1,SS1,94.00,inUse,4,24,69,45,4,client1,01/05/2020 20:00,dispense,ab1,95,26,01/05/2020 20:00,unknown,unknown,1.0.0,55.752225,-4.220541,74,77,0,FACE,Registered,55.752225,-4.220541,John,Bloggs,1995,Male,4,Dry,None,ISHGA,Exfoliator,Face Wash,Men’s Exfoliating Face Wash 100ml,28/04/2020 14:00,DRY,DAILY,2,4,100,01/05/2020
3,3,a1,SS1,93.00,inUse,2,23,65,29,7,client1,02/05/2020 08:00,dispense,ab1,82,22,02/05/2020 08:00,unknown,unknown,1.0.0,55.752225,-4.220541,74,67,0,FACE,Registered,55.752225,-4.220541,John,Bloggs,1995,Male,4,Dry,None,ISHGA,Exfoliator,Face Wash,Men’s Exfoliating Face Wash 100ml,28/04/2020 14:00,DRY,DAILY,2,4,100,01/05/2020
4,4,a1,SS1,90.00,inUse,4,18,79,21,4,client1,02/05/2020 20:00,dispense,ab1,99,18,02/05/2020 20:00,unknown,unknown,1.0.0,55.752225,-4.220541,69,79,0,FACE,Registered,55.752225,-4.220541,John,Bloggs,1995,Male,4,Dry,None,ISHGA,Exfoliator,Face Wash,Men’s Exfoliating Face Wash 100ml,28/04/2020 14:00,DRY,DAILY,2,4,100,01/05/2020
5,5,a1,SS1,88.00,inUse,2,26,75,23,5,client1,03/05/2020 08:00,dispense,ab1,100,21,03/05/2020 08:00,unknown,unknown,1.0.0,55.752225,-4.220541,68,72,0,FACE,Registered,55.752225,-4.220541,John,Bloggs,1995,Male,4,Dry,None,ISHGA,Exfoliator,Face Wash,Men’s Exfoliating Face Wash 100ml,28/04/2020 14:00,DRY,DAILY,2,4,100,01/05/2020
6,6,a1,SS1,84.00,inUse,4,18,66,49,5,client1,03/05/2020 20:00,dispense,ab1,97,22,03/05/2020 20:00,unknown,unknown,1.0.0,55.752225,-4.220541,71,72,0,FACE,Registered,55.752225,-4.220541,John,Bloggs,1995,Male,4,Dry,None,ISHGA,Exfoliator,Face Wash,Men’s Exfoliating Face Wash 100ml,28/04/2020 14:00,DRY,DAILY,2,4,100,01/05/2020
7,7,a1,SS1,82.00,inUse,2,22,73,40,7,client1,04/05/2020 08:00,dispense,ab1,99,26,04/05/2020 08:00,unknown,unknown,1.0.0,55.752225,-4.220541,75,67,0,FACE,Registered,55.752225,-4.220541,John,Bloggs,1995,Male,4,Dry,None,ISHGA,Exfoliator,Face Wash,Men’s Exfoliating Face Wash 100ml,28/04/2020 14:00,DRY,DAILY,2,4,100,01/05/2020
8,8,a1,SS1,80.00,inUse,4,21,69,23,4,client1,05/05/2020 20:00,dispense,ab1,90,25,05/05/2020 20:00,unknown,unknown,1.0.0,55.752225,-4.220541,75,72,0,FACE,Registered,55.752225,-4.220541,John,Bloggs,1995,Male,4,Dry,None,ISHGA,Exfoliator,Face Wash,Men’s Exfoliating Face Wash 100ml,28/04/2020 14:00,DRY,DAILY,2,4,100,01/05/2020
9,9,a1,SS1,77.00,inUse,1,24,70,44,4,client1,06/05/2020 08:00,dispense,ab1,83,25,06/05/2020 08:00,unknown,unknown,1.0.0,55.752225,-4.220541,74,80,0,FACE,Registered,55.752225,-4.220541,John,Bloggs,1995,Male,4,Dry,None,ISHGA,Exfoliator,Face Wash,Men’s Exfoliating Face Wash 100ml,28/04/2020 14:00,DRY,DAILY,2,4,100,01/05/2020
10,10,a1,SS1,73.00,inUse,3,26,78,49,3,client1,06/05/2020 20:00,dispense,ab1,88,24,06/05/2020 20:00,unknown,unknown,1.0.0,55.752225,-4.220541,71,67,0,FACE,Registered,55.752225,-4.220541,John,Bloggs,1995,Male,4,Dry,None,ISHGA,Exfoliator,Face Wash,Men’s Exfoliating Face Wash 100ml,28/04/2020 14:00,DRY,DAILY,2,4,100,01/05/2020
11,11,a1,SS1,69.00,inUse,3,24,71,22,7,client1,07/05/2020 08:00,dispense,ab1,89,28,07/05/2020 08:00,unknown,unknown,1.0.0,55.752225,-4.220541,72,74,0,FACE,Registered,55.752225,-4.220541,John,Bloggs,1995,Male,4,Dry,None,ISHGA,Exfoliator,Face Wash,Men’s Exfoliating Face Wash 100ml,28/04/2020 14:00,DRY,DAILY,2,4,100,01/05/2020
12,12,a1,SS1,67.00,inUse,4,19,70,38,6,client1,07/05/2020 20:00,dispense,ab1,88,18,07/05/2020 20:00,unknown,unknown,1.0.0,55.752225,-4.220541,71,76,0,FACE,Registered,55.752225,-4.220541,John,Bloggs,1995,Male,4,Dry,None,ISHGA,Exfoliator,Face Wash,Men’s Exfoliating Face Wash 100ml,28/04/2020 14:00,DRY,DAILY,2,4,100,01/05/2020
13,13,a1,SS1,63.00,inUse,4,23,73,45,6,client1,08/05/2020 20:00,dispense,ab1,76,21,08/05/2020 20:00,unknown,unknown,1.0.0,55.752225,-4.220541,71,71,0,FACE,Registered,55.752225,-4.220541,John,Bloggs,1995,Male,4,Dry,None,ISHGA,Exfoliator,Face Wash,Men’s Exfoliating Face Wash 100ml,28/04/2020 14:00,DRY,DAILY,2,4,100,01/05/2020
14,14,a1,SS1,61.00,inUse,3,24,65,36,6,client1,09/05/2020 20:00,dispense,ab1,94,25,09/05/2020 20:00,unknown,unknown,1.0.0,55.752225,-4.220541,68,79,0,FACE,Registered,55.752225,-4.220541,John,Bloggs,1995,Male,4,Dry,None,ISHGA,Exfoliator,Face Wash,Men’s Exfoliating Face Wash 100ml,28/04/2020 14:00,DRY,DAILY,2,4,100,01/05/2020
15,15,a1,SS1,59.00,inUse,1,23,75,31,7,client1,10/05/2020 08:00,dispense,ab1,87,27,10/05/2020 08:00,unknown,unknown,1.0.0,55.752225,-4.220541,73,76,0,FACE,Registered,55.752225,-4.220541,John,Bloggs,1995,Male,4,Dry,None,ISHGA,Exfoliator,Face Wash,Men’s Exfoliating Face Wash 100ml,28/04/2020 14:00,DRY,DAILY,2,4,100,01/05/2020
16,16,a1,SS1,57.00,inUse,4,22,66,37,4,client1,10/05/2020 20:00,dispense,ab1,83,21,10/05/2020 20:00,unknown,unknown,1.0.0,55.752225,-4.220541,70,66,0,FACE,Registered,55.752225,-4.220541,John,Bloggs,1995,Male,4,Dry,None,ISHGA,Exfoliator,Face Wash,Men’s Exfoliating Face Wash 100ml,28/04/2020 14:00,DRY,DAILY,2,4,100,01/05/2020
17,17,a1,SS1,53.00,inUse,2,24,71,41,6,client1,11/05/2020 08:00,dispense,ab1,79,27,11/05/2020 08:00,unknown,unknown,1.0.0,55.752225,-4.220541,67,66,0,FACE,Registered,55.752225,-4.220541,John,Bloggs,1995,Male,4,Dry,None,ISHGA,Exfoliator,Face Wash,Men’s Exfoliating Face Wash 100ml,28/04/2020 14:00,DRY,DAILY,2,4,100,01/05/2020
18,18,a1,SS1,49.00,inUse,4,19,78,22,3,client1,11/05/2020 20:00,dispense,ab1,100,22,11/05/2020 20:00,unknown,unknown,1.0.0,55.752225,-4.220541,68,67,0,FACE,Registered,55.752225,-4.220541,John,Bloggs,1995,Male,4,Dry,None,ISHGA,Exfoliator,Face Wash,Men’s Exfoliating Face Wash 100ml,28/04/2020 14:00,DRY,DAILY,2,4,100,01/05/2020
19,19,a1,SS1,45.00,inUse,2,20,69,35,5,client1,12/05/2020 08:00,dispense,ab1,95,27,12/05/2020 08:00,unknown,unknown,1.0.0,55.752225,-4.220541,74,79,0,FACE,Registered,55.752225,-4.220541,John,Bloggs,1995,Male,4,Dry,None,ISHGA,Exfoliator,Face Wash,Men’s Exfoliating Face Wash 100ml,28/04/2020 14:00,DRY,DAILY,2,4,100,01/05/2020
20,20,a1,SS1,43.00,inUse,4,18,71,20,3,client1,12/05/2020 20:00,dispense,ab1,79,19,12/05/2020 20:00,unknown,unknown,1.0.0,55.752225,-4.220541,72,67,0,FACE,Registered,55.752225,-4.220541,John,Bloggs,1995,Male,4,Dry,None,ISHGA,Exfoliator,Face Wash,Men’s Exfoliating Face Wash 100ml,28/04/2020 14:00,DRY,DAILY,2,4,100,01/05/2020
21,21,a1,SS1,39.00,inUse,2,25,75,25,6,client1,13/05/2020 08:00,dispense,ab1,94,18,13/05/2020 08:00,unknown,unknown,1.0.0,55.752225,-4.220541,70,70,0,FACE,Registered,55.752225,-4.220541,John,Bloggs,1995,Male,4,Dry,None,ISHGA,Exfoliator,Face Wash,Men’s Exfoliating Face Wash 100ml,28/04/2020 14:00,DRY,DAILY,2,4,100,01/05/2020
22,22,a1,SS1,35.00,inUse,4,24,74,33,3,client1,13/05/2020 20:00,dispense,ab1,85,20,13/05/2020 20:00,unknown,unknown,1.0.0,55.752225,-4.220541,73,80,0,FACE,Registered,55.752225,-4.220541,John,Bloggs,1995,Male,4,Dry,None,ISHGA,Exfoliator,Face Wash,Men’s Exfoliating Face Wash 100ml,28/04/2020 14:00,DRY,DAILY,2,4,100,01/05/2020
23,23,a1,SS1,33.00,inUse,2,24,79,44,5,client1,14/05/2020 08:00,dispense,ab1,85,24,14/05/2020 08:00,unknown,unknown,1.0.0,55.752225,-4.220541,70,78,0,FACE,Registered,55.752225,-4.220541,John,Bloggs,1995,Male,4,Dry,None,ISHGA,Exfoliator,Face Wash,Men’s Exfoliating Face Wash 100ml,28/04/2020 14:00,DRY,DAILY,2,4,100,01/05/2020
